"Cod_Vigente","Cod_Region","Nom_Region","Cod_Dep_Jerarquica","Dep_Jerarquica","Tipo_Establec","Nom_Oficial","Dep_Admin","Nivel_Atencion","Nom_Comuna","Cod_Comuna","Certificacion"
126304,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar Carlos Ibáñez","Municipal","Primario","Punta Arenas","12101","Centro de Salud Familiar"
201069,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Servicio de Atención Primaria de Urgencia (SAPU)","SAPU Carlos  Ibañez","Municipal","Primario","Punta Arenas","12101","NO"
126303,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar Dr. Thomas Fenton","Municipal","Primario","Punta Arenas","12101","Centro de Salud Familiar"
126300,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar Dr. Mateo Bencur","Municipal","Primario","Punta Arenas","12101","Centro de Salud Familiar"
126800,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Servicio de Atención Primaria de Urgencia (SAPU)","SAPU Dr. Mateo Bencur","Municipal","Primario","Punta Arenas","12101","NO"
126700,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Dr. Mateo Bencur","Municipal","Primario","Punta Arenas","12101","NO"
126100,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Hospital","Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria","Servicio de Salud","Terciario","Punta Arenas","12101","Autogestionado en Red ( EAR)"
126701,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Río Seco","Municipal","Primario","Punta Arenas","12101","NO"
126402,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Posta de Salud Rural (PSR)","Posta de Salud Rural Río Verde","Municipal","Primario","Río Verde","12103","NO"
126403,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Posta de Salud Rural (PSR)","Posta de Salud Rural Tehuelches","Municipal","Primario","Laguna Blanca","12102","NO"
126404,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Posta de Salud Rural (PSR)","Posta de Salud Rural Punta Delgada","Municipal","Primario","San Gregorio","12104","NO"
126101,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Hospital","Hospital Dr. Augusto Essmann Burgos ( Natales)","Servicio de Salud","Terciario","Natales","12401","NO"
126305,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar Natales","Municipal","Primario","Natales","12401","Centro de Salud Familiar"
201079,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Servicio de Atención Primaria de Urgencia (SAPU)","SAPU ""Dr. Juan Lozic Perez""","Municipal","Primario","Natales","12401","NO"
126413,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Posta de Salud Rural (PSR)","Posta de Salud Rural Dorotea","Municipal","Primario","Natales","12401","NO"
126400,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Posta de Salud Rural (PSR)","Posta de Salud Rural Cerro Castillo (Torres del Paine)","Municipal","Primario","Torres del Paine","12402","NO"
126410,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Posta de Salud Rural (PSR)","Posta de Salud Rural Puerto Edén","Municipal","Primario","Natales","12401","NO"
125425,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Villa O'Higgins","Servicio de Salud","Primario","O'Higgins","11302","NO"
125428,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Caleta Tortel","Servicio de Salud","Primario","Tortel","11303","NO"
125103,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Hospital","Hospital Lord Cochrane","Servicio de Salud","Primario-Secundario ( Por confirmar)","Cochrane","11301","NO"
125409,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Puerto Bertrand","Servicio de Salud","Primario","Chile Chico","11401","NO"
125410,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Puerto Guadal","Servicio de Salud","Primario","Chile Chico","11401","NO"
125411,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Mallín Grande","Servicio de Salud","Primario","Chile Chico","11401","NO"
125412,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Río Tranquilo","Servicio de Salud","Primario","Río Ibáñez","11402","NO"
125408,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Puerto Sánchez","Servicio de Salud","Primario","Río Ibáñez","11402","NO"
125102,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Hospital","Hospital Dr. Leopoldo Ortega R. (Chile Chico)","Servicio de Salud","Primario-Secundario ( Por confirmar)","Chile Chico","11401","NO"
125407,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Bahía Murta","Servicio de Salud","Primario","Río Ibáñez","11402","NO"
125419,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Puerto Ibáñez","Servicio de Salud","Primario","Río Ibáñez","11402","NO"
125420,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Cerro Castillo (Río Ibáñez)","Servicio de Salud","Primario","Río Ibáñez","11402","NO"
125400,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Balmaceda","Servicio de Salud","Primario","Coyhaique","11101","NO"
125413,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural El Blanco","Servicio de Salud","Primario","Coyhaique","11101","NO"
125414,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Valle Simpson","Servicio de Salud","Primario","Coyhaique","11101","NO"
125423,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Lago Atravesado","Servicio de Salud","Primario","Coyhaique","11101","NO"
125300,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Consultorio General Rural (CGR)","Consultorio Víctor Domingo Silva","Servicio de Salud","Primario","Coyhaique","11101","NO"
200170,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Servicio de Atención Primaria de Urgencia (SAPU)","SAPU Dr. Alejandro Gutiérrez","Servicio de Salud","Primario","Coyhaique","11101","NO"
125301,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Consultorio General Rural (CGR)","Consultorio Alejandro Gutiérrez","Servicio de Salud","Primario","Coyhaique","11101","NO"
200256,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Centro Comunitario de Salud Mental  (COSAM)","COSAM Coyhaique","Servicio de Salud","Secundario","Coyhaique","11101","NO"
200359,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Alejandro Gutierrez","Servicio de Salud","Primario","Coyhaique","11101","NO"
125100,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Hospital","Hospital Regional (Coihaique)","Servicio de Salud","Terciario","Coyhaique","11101","Autogestionado en Red ( EAR)"
125012,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Clínica Dental Móvil","Clínica Dental Móvil Simple. Pat. PW4067 (Coihaique)","Servicio de Salud","Primario","Coyhaique","11101","NO"
200376,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Unidad de Procedimientos Móvil","Mamógrafo Digital - Ecotomógrafo Móvil. Pat. PX1462-2 (SS Aysén)","Servicio de Salud","Primario","Coyhaique","11101","NO"
125417,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Puerto Chacabuco","Servicio de Salud","Primario","Aisén","11201","NO"
125701,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Ribera Sur","Servicio de Salud","Primario","Aisén","11201","NO"
125101,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Hospital","Hospital de Puerto Aysén","Servicio de Salud","Terciario","Aisén","11201","NO"
200380,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar Puerto Aysen","Servicio de Salud","Primario","Aisén","11201","Centro de Salud Familiar"
125415,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Villa Ortega","Servicio de Salud","Primario","Coyhaique","11101","NO"
125416,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Ñireguao","Servicio de Salud","Primario","Coyhaique","11101","NO"
125418,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar  Villa Mañihuales","Servicio de Salud","Primario","Aisén","11201","NO"
125402,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Puerto Aguirre","Servicio de Salud","Primario","Aisén","11201","NO"
125403,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Caleta Andrade","Servicio de Salud","Primario","Aisén","11201","NO"
125426,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural El Gato","Servicio de Salud","Primario","Coyhaique","11101","NO"
125406,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Villa Amengual","Servicio de Salud","Primario","Lago Verde","11102","NO"
125104,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Hospital","Hospital Dr. Jorge Ibar (Cisnes)","Servicio de Salud","Primario-Secundario ( Por confirmar)","Cisnes","11202","NO"
125405,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural La Tapera","Servicio de Salud","Primario","Lago Verde","11102","NO"
125421,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Puyuhuapi","Servicio de Salud","Primario","Cisnes","11202","NO"
125429,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Isla Toto","Servicio de Salud","Primario","Cisnes","11202","NO"
125404,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Lago Verde","Servicio de Salud","Primario","Lago Verde","11102","NO"
125427,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Melimoyu","Servicio de Salud","Primario","Cisnes","11202","NO"
125442,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar La Junta","Servicio de Salud","Primario","Cisnes","11202","Centro de Salud Familiar"
125401,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Melinka","Servicio de Salud","Primario","Guaitecas","11203","NO"
125424,11,"Región De Aysén del General Carlos Ibañez del Campo","25","Servicio de Salud Aisén","Posta de Salud Rural (PSR)","Posta de Salud Rural Raúl Marín Balmaceda","Servicio de Salud","Primario","Cisnes","11202","NO"
124536,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural El Malito","Municipal","Primario","Palena","10404","NO"
124140,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Hospital","Hospital de Palena","Servicio de Salud","Primario-Secundario ( Por confirmar)","Palena","10404","NO"
124534,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural Puerto Ramírez","Municipal","Primario","Palena","10404","NO"
124532,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural El Frío o Santa Lucía","Municipal","Primario","Chaitén","10401","NO"
133558,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Inio","Municipal","Primario","Quellón","10208","NO"
124535,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural El Azul","Municipal","Primario","Futaleufú","10402","NO"
133529,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Piedras Blancas","Municipal","Primario","Quellón","10208","NO"
133527,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Punta Liles o Laitec","Municipal","Primario","Quellón","10208","NO"
133528,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Punta Paula o Coldita","Municipal","Primario","Quellón","10208","NO"
124145,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Hospital","Hospital de Futaleufú","Servicio de Salud","Primario-Secundario ( Por confirmar)","Futaleufú","10402","NO"
133526,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Pelu","Municipal","Primario","Quellón","10208","NO"
133797,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Vista Hermosa","Municipal","Primario","Quellón","10208","NO"
133796,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Rukalaf","Municipal","Primario","Quellón","10208","NO"
200493,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Villa Aytue","Municipal","Primario","Quellón","10208","NO"
133165,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Hospital","Hospital de Quellón","Servicio de Salud","Primario-Secundario ( Por confirmar)","Quellón","10208","NO"
133396,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar Quellón","Municipal","Primario","Quellón","10208","Centro de Salud Familiar"
133551,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Yaldad","Municipal","Primario","Quellón","10208","NO"
124540,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural El Espolón","Municipal","Primario","Futaleufú","10402","NO"
133523,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Candelaria (Quellón)","Municipal","Primario","Quellón","10208","NO"
133561,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Chaullín","Municipal","Primario","Quellón","10208","NO"
133548,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Coinco","Municipal","Primario","Quellón","10208","NO"
133522,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Curanue","Municipal","Primario","Quellón","10208","NO"
133550,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Auchac","Municipal","Primario","Quellón","10208","NO"
133499,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Alqui","Municipal","Primario","Queilén","10207","NO"
133525,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural San Juan de Chadmo","Municipal","Primario","Quellón","10208","NO"
133502,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Nepúe","Municipal","Primario","Queilén","10207","NO"
133560,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural San José","Municipal","Primario","Queilén","10207","NO"
133549,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Chadmo Central","Municipal","Primario","Quellón","10208","NO"
200076,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Hospital","Hospital de Chaitén","Servicio de Salud","Primario-Secundario ( Por confirmar)","Chaitén","10401","NO"
133170,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Hospital","Hospital Comunitario de Queilén","Servicio de Salud","Primario-Secundario ( Por confirmar)","Queilén","10207","NO"
133524,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Compu","Municipal","Primario","Quellón","10208","NO"
133536,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Pureo","Municipal","Primario","Queilén","10207","NO"
133553,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Natri","Municipal","Primario","Chonchi","10203","NO"
133534,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural de CONTUY","Municipal","Primario","Queilén","10207","NO"
133500,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Apeche","Municipal","Primario","Queilén","10207","NO"
133501,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Pío - Pío","Municipal","Primario","Queilén","10207","NO"
133498,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Agoni Alto","Municipal","Primario","Queilén","10207","NO"
133538,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Pulpito","Municipal","Primario","Chonchi","10203","NO"
124533,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural Chana","Municipal","Primario","Chaitén","10401","NO"
124520,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural Talcán","Municipal","Primario","Chaitén","10401","NO"
133480,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Terao","Municipal","Primario","Chonchi","10203","NO"
124521,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural Nayahue","Municipal","Primario","Chaitén","10401","NO"
133477,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Detif","Municipal","Primario","Puqueldón","10206","NO"
133745,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Huillinco","Municipal","Primario","Chonchi","10203","NO"
133478,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Liucura (Puqueldón)","Municipal","Primario","Puqueldón","10206","NO"
133556,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Cucao","Municipal","Primario","Chonchi","10203","NO"
133511,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Capilla Antigüa","Municipal","Primario","Quinchao","10210","NO"
124518,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural Chulín","Municipal","Primario","Chaitén","10401","NO"
133552,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Chaulinec La Villa","Municipal","Primario","Quinchao","10210","NO"
133345,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar Chonchi","Municipal","Primario","Chonchi","10203","Centro de Salud Familiar"
200733,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Servicio de Urgencia Rural (SUR)","SUR Chonchi","Municipal","Primario","Chonchi","10203","NO"
133483,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Petanes Bajos","Municipal","Primario","Chonchi","10203","NO"
133476,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Ichuac","Municipal","Primario","Puqueldón","10206","NO"
133469,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Quehui","Municipal","Primario","Castro","10201","NO"
133482,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Chanquín","Municipal","Primario","Chonchi","10203","NO"
133510,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Isla Alao","Municipal","Primario","Quinchao","10210","NO"
200735,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Servicio de Urgencia Rural (SUR)","SUR Puqueldón","Municipal","Primario","Puqueldón","10206","NO"
133355,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar Puqueldón","Municipal","Primario","Puqueldón","10206","Centro de Salud Familiar"
133703,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Carlina Paillacar","Municipal","Primario","Quinchao","10210","NO"
133554,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Curaco de Vilupulli","Municipal","Primario","Chonchi","10203","NO"
133470,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Chelín","Municipal","Primario","Castro","10201","NO"
133475,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Aldachildo","Municipal","Primario","Puqueldón","10206","NO"
124550,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural Casa de Pesca","Municipal","Primario","Chaitén","10401","NO"
133466,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Curahue","Municipal","Primario","Castro","10201","NO"
133484,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Rauco","Municipal","Primario","Chonchi","10203","NO"
133503,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Quinchao","Municipal","Primario","Quinchao","10210","NO"
133555,10,"Región De Los Lagos","33","Servicio de Salud Chiloé","Posta de Salud Rural (PSR)","Posta de Salud Rural Nalhuitad","Municipal","Primario","Chonchi","10203","NO"
124530,10,"Región De Los Lagos","24","Servicio de Salud Del Reloncaví","Posta de Salud Rural (PSR)","Posta de Salud Rural Chumeldén","Municipal","Primario","Chaitén","10401","NO"
